sub	sess	t	loc	cue	co1	co2	or	resp	rt
1	1	270	1	3	0.1000	0.1000	1	1	0.661
1	1	271	1	3	0.1000	0.1000	1	0	0.805
1	1	272	2	1	0.1000	0.1000	1	1	0.600
1	1	273	2	1	0.1000	0.1000	1	1	0.499
1	1	274	1	3	0.1000	0.1000	1	0	0.880
1	1	275	2	1	0.1000	0.1000	1	1	0.752
1	1	276	1	3	0.1000	0.1000	0	0	2.508
1	1	277	1	2	0.1000	0.1000	0	1	0.927
1	1	278	2	1	0.1000	0.1000	0	1	0.730
1	1	279	1	3	0.1000	0.1000	1	1	0.560
1	1	280	1	1	0.1000	0.1000	0	1	0.604
1	1	281	1	2	0.1000	0.1000	1	1	0.876
1	1	282	2	2	0.1000	0.1000	0	1	0.514
1	1	283	1	3	0.1000	0.1000	0	1	0.498
1	1	284	1	3	0.1000	0.1000	0	1	0.494
1	1	285	1	3	0.1000	0.1000	0	1	0.620
1	1	286	1	3	0.1000	0.1000	1	0	0.894
1	1	287	1	3	0.1000	0.1000	0	1	0.644
1	1	288	2	2	0.1000	0.1000	1	1	0.484
1	1	289	2	1	0.1000	0.1000	1	1	0.649
1	1	290	1	3	0.1000	0.1000	1	1	0.878
1	1	291	1	1	0.1000	0.1000	0	1	0.528
1	1	292	2	1	0.1000	0.1000	1	1	0.959
1	1	293	1	3	0.1000	0.1000	1	0	0.588
1	1	294	1	1	0.1000	0.1000	1	1	0.596
1	1	295	2	1	0.1000	0.1000	0	1	0.711
1	1	296	1	3	0.1000	0.1000	0	1	0.568
1	1	297	2	2	0.1000	0.1000	1	1	0.550
1	1	298	1	3	0.1000	0.1000	1	1	0.718
1	1	299	2	1	0.1000	0.1000	0	1	0.593
1	1	300	2	1	0.1000	0.1000	1	1	0.582
1	1	301	2	1	0.1000	0.1000	0	1	0.880
1	1	302	1	2	0.1000	0.1000	0	1	0.557
1	1	303	1	3	0.1000	0.1000	0	1	0.485
1	1	304	1	3	0.1000	0.1000	1	1	0.597
1	1	305	1	2	0.1000	0.1000	0	1	0.480
1	1	306	2	1	0.1000	0.1000	1	1	0.605
1	1	307	2	3	0.1000	0.1000	0	1	0.601
1	1	308	2	3	0.1000	0.1000	1	1	0.575
1	1	309	1	3	0.1000	0.1000	0	1	0.771
1	1	310	2	1	0.1000	0.1000	0	1	0.539
1	1	311	2	2	0.1000	0.1000	0	1	0.554
1	1	312	1	3	0.1000	0.1000	0	1	0.593
1	1	313	1	3	0.1000	0.1000	1	0	0.555
1	1	314	1	1	0.1000	0.1000	0	1	0.623
1	1	315	2	2	0.1000	0.1000	0	1	0.561
1	1	316	1	2	0.1000	0.1000	0	1	0.463
1	1	317	1	2	0.1000	0.1000	1	0	0.501
1	1	318	2	1	0.1000	0.1000	1	1	0.587
